Vålerenga - Rosenborg 2-3,Ignore
"Sam Johnson ga vertene ledelsen, men Jonathan Levi og et selvmål av Enar Jääger snudde kampen, før tidligere Brann-spiller Amin Nouri ordnet 2-2 med mål i sin andre strake (!) hjemmekamp.",Goal/Assist
På et hjørnespark langt på overtid kom avgjørelsen for Rosenborg da et hjørnespark havnet hos nysigneringen Jebali på bakerste stolpe.,Goal/Assist
Ti minutter før pause scoret Sam Johnson sitt første mål siden midten av mai da han dro seg fint inn fra venstre og curlet ballen i det lengste hjørnet via Hedenstad.,Goal/Assist
Vålerenga holdt 1-0-ledelsen bare frem til siste spilleminutt av omgangen. Jonathan Levis halvvolley på utsiden av 16-meteren gikk via Bård Finne og overlistet keeper Adam Larsen Kwarasey på hjemmelaget.,Goal/Assist
Andreomgang var bare drøyt fire minutter gammel da Rosenborg hadde snudd kampen. Hedenstads hjørnespark ble slått hardt på første stolpe. Enar Jääger var uheldig og headet ballen i eget mål.,Goal/Assist
"Det varte imidlertid ikke lenge, for i det 58. spilleminutt havnet en retur fra André Hansen i beina på Amin Nouri, som banket inn 2-2 for Vålerenga. Dermed har høyrebacken scoret i to strake hjemmekamper.",Goal/Assist
Nesten fem minutter på overtid kom avgjørelsen da Jebali snek seg inn på bakerste stolpe på hjørnespark og med en velplassert volley styrte inn 3-2.,Goal/Assist
Enar Jääger og Mohammed Abu måtte for øvrig ut med skade for VIF.,Injuries
Se målene i Sportsnyhetene øverst.,Ignore
Avgjørelsen falt da Ruud bøyde et frispark over muren og i venstre kryss sju minutter etter pause.,Goal/Assist
Sarpsborgs poengfangst i Eliteserien har stoppet helt. Espen Ruud scoret begge Odds mål i 2-1-seieren i Østfold søndag.,Goal/Assist
Se Besiktas mot Sarpsborg på TV 2 Sport 1 og Sumo torsdag fra kl. 18.15.,Ignore
Espen Ruuds frisparkfot hylles etter at han ble matchvinner mot Sarpsborg.,Player details
"I siste spilleminutt hadde Samúel Kari Fridjónsson en god mulighet på frispark, men Rosenborg-målvakt André Hansen fikk slått unna.",sjanse
Rosenborg er tilbake på toppen av Eliteserien etter at Brann lånte den i et drøyt døgn etter 3-1 over Haugesund.,Club details
Rosenborg leder to poeng foran Brann. Vålerenga er nummer seks med fem poeng opp til Haugesund på tredjeplass.,Club details
"– Bittert. Det er mye mer bittert enn å tape drittkamp der du blir rundspilt og ikke fortjener noe, men i dag var det glød i øynene på gutta. Det var tro, hardt arbeid og masse offensivt spill. Det var en herlig ramme med fantastiske
                        supportere, sier Vålerenga-trener Ronny Deila til TV 2.",quote
"– Det var en fantastisk avslutning. Vi var slitne og det var en vanskelig kamp, sier matchvinneren til TV Norge.​",quote
"Bård Finne skapte kampens første store mulighet da han snappet ballen fra Vegard Eggen Hedenstad, dro seg inn i banen og fyrte av, men ballen gikk i stolpen.",sjanse
"I det 48. minutt klarte endelig Sarpsborg å bryte seg gjennom Odd-forsvaret. Heinz utnyttet Vegard Bergans balltap på egen banehalvdel og spilte videre til Thomassen. S08-kapteinen dro seg innover i boksen og hamret inn 1-1 i venstre
                        hjørne.",Goal/Assist
"Gleden på et regnfylt Sarpsborg stadion varte ikke lenge. Bare fire minutter senere prikket Ruud inn vinnermålet på frispark. Amin Askar hoppet desperat på streken, men kom ikke høyt nok opp.",Goal/Assist
" Se begge målene i Sportsnyhetene øverst. 

",Ignore
Hjemmelagets Andreas Helmerens sendte vertene i ledelsen etter 28 minutter og trodde nok at han hadde blitt matchvinner.,Goal/Assist
"Kvarteret før slutt burde Birk Risa punktert oppgjøret for Odd. Etter et Ruud-frispark løp Risa seg fri og fikk stå helt alene, men fra fem meter skjøt han ballen utenfor mål.",sjanse
Sarpsborg innleder torsdag sitt gruppespilleventyr i europaligaen med bortekamp mot tyrkiske Besiktas i Istanbul. Der må sarpingene regne med at det blir skikkelig kok.,Club details
Odd er litt i dytten om dagen. Telemarkingene er ubeseiret på sine sju siste seriekamper. Odds forrige tap kom mot Tromsø 1. juli. Dag-Eilev Fagermos menn står med 30 poeng. Det er to poeng mindre enn Sarpsborg.,Club details
(©NTB),Ignore
Ranheim-Strømsgodset 1-1,Ignore
Rossbachs redning av Heinz-forsøket var imponerende. Han måtte rygge bakover mot eget mål før han kastet seg bakover og fikk ballen unna.,sjanse
Ranet med seg ett poeng i Ranheim: – De må passe seg,Club details
Strømsgodset ranet til seg uavgjort på overtid. Det er ett poeng som kan vise seg å bli livsviktig i kampen for å unngå nedrykk.,Club details
Strømsgodset lå lenge an til å tape 0-1 borte for Ranheim søndag.,Club details
Så dukket Tokmac Nguen opp to minutter på overtid og reddet et svært viktig poeng for drammenserne.,irrelevant
"Med Start-seier og Stabæk-poeng har Strømsgodset dermed plutselig begge bein godt plantet i bunnstriden, kun fire poeng over direkte nedrykk.",Club details
"
                    – Dette ene poenget kan vise seg å bli svært viktig for dem. ",quote
"For til tross for et viktig bortepoeng, er sannheten at Strømsgodset nok en gang underpresterte, mener TV 2s fotballekspert Jesper Mathisen.",irrelevant
"Drammenserne har ikke vunnet på fem kamper, og nå venter Molde, Sarpsborg 08 og Haugesund de neste tre rundene.",Club details
"– Det er helt nifst å se dette Strømsgodset-laget. Med alle de gode spillerne vet vi hva de kan gjøre på sitt beste. Se laget, stallen og banken. At ikke de kan skape mål, sjanser og vinne kamper, er helt utrolig, sier Jesper Mathisen
                        i FotballXtra.",quote
– De skal passe seg nå hvis de ikke klarer å heve seg.,quote
Steffen Iversen etterlyser mer støtte til Marcus Pedersen på topp.,irrelevant
"– Selv om de har Marcus Pedersen med 14 mål allerede, trenger han mer støtte som spiss. De trenger at midtbanespillerne kommer opp og at ikke alt blir liggende på skuldrene til Marcus, sier Steffen Iversen.",quote
Bjørn Petter Ingebretsen tok over som hovedtrener for Strømsgodset i sommer etter at Tor Ole Skullerud tok konsekvensen av en rekke dårlige resultater. Etter en brukbar start har imidlertid fremgangen uteblitt.,irrelevant
